Job ID,Megha Job Completion Time,Sparrow Job Completion Time,Ideal Job Completion Time
406,1473474.0035000006,1484305.0074999996,1473463.11
407,1474942.0155000023,1479263.0094999997,1474764.0
408,1473502.0035000006,1483471.0084999995,1473493.01
409,1473762.0035000006,1478356.0124999993,1473695.02
410,1473363.0035000006,1473363.0015,1473363.0
411,1473366.0035000006,1473365.0115,1473365.01
412,1473570.0035000006,1473569.0015,1473569.0
413,1473387.005500001,1475124.0054999995,1473384.01
414,1477525.0135000022,1482361.0104999994,1477517.02
415,1473492.0075000012,1473753.0044999998,1473479.03
416,1473712.0035000006,1477480.0064999997,1473697.04
417,1473568.005500001,1478783.0134999992,1473566.0
418,1473508.0075000012,1478651.0094999997,1473501.01
419,1473741.0095000016,1478455.0044999998,1473694.02
420,1473686.0235000006,1484509.0064999997,1473681.0
421,1473678.0035000006,1478221.0084999995,1473673.01
422,1473676.005500001,1478849.0084999995,1473674.0
423,1473692.0095000016,1479469.0144999991,1473674.01
424,1473680.0095000016,1479155.0084999995,1473676.02
425,1473417.0035000006,1474002.0025,1473411.0
426,1473509.015500001,1478261.0094999997,1473508.0
427,1473678.0075000012,1478153.0074999996,1473673.0
428,1473800.0155000023,1473796.0115,1473796.01
429,1473801.0075000012,1477737.0074999996,1473798.0
430,1473441.0035000006,1479433.0134999992,1473441.0
431,1473434.0035000006,1476074.0074999996,1473432.0
432,1473514.0035000006,1473914.0044999998,1473514.0
433,1473547.005500001,1475710.0054999995,1473542.0
434,1473611.0095000016,1478160.0124999993,1473545.01
435,1474364.0035000006,1477614.0124999993,1474355.0
436,1474350.0075000012,1477650.0084999995,1474346.0
437,1474321.005500001,1479213.0094999997,1474287.01
438,1473634.0155000023,1474253.0074999996,1473633.0
439,1482128.0035000006,1483416.0064999997,1482124.0
440,1473713.0035000006,1477157.0064999997,1473710.0
441,1473627.0275000029,1488051.0104999994,1473625.0
442,1474048.0075000012,1478522.0094999997,1474046.0
443,1473911.0095000016,1483222.011499999,1473911.0
444,1473547.0095000016,1475045.0074999996,1473543.01
445,1473950.0035000006,1474492.0044999998,1473950.0
446,1473675.0035000006,1478335.0074999996,1473674.01
447,1473646.0175000029,1477808.0074999996,1473645.02
448,1473566.0035000006,1474632.0064999997,1473563.03
449,1473615.011500002,1487360.0104999994,1473614.0
450,1474521.0035000006,1479179.011499999,1474518.0
451,1475431.0035000006,1478757.0084999995,1475342.0
452,1473552.011500002,1473552.0015,1473552.0
453,1473624.0035000006,1475962.0064999997,1473623.0
454,1473618.0035000006,1476029.0094999997,1473618.0
455,1473998.0095000016,1478151.0104999994,1473997.01
456,1473668.011500002,1478561.0094999997,1473667.02
457,1473617.011500002,1474335.0054999995,1473617.0
458,1473618.005500001,1478142.0074999996,1473617.01
459,1473664.0095000016,1478011.011499999,1473623.0
460,1473571.0095000016,1475603.0074999996,1473571.0
461,1473703.0095000016,1474871.0074999996,1473701.0
462,1473565.0095000016,1476070.0054999995,1473563.01
463,1473699.011500002,1476079.0194999997,1473698.0
464,1473885.0255000023,1475775.0154999995,1473885.0
465,1473935.0035000006,1477989.011499999,1473935.0
466,1473897.0035000006,1477407.0064999997,1473896.0
467,1473941.0095000016,1477599.0094999997,1473936.01
468,1474312.0035000006,1476794.0054999995,1474312.0
469,1473736.0035000006,1476241.0074999996,1473735.0
470,1473596.0035000006,1476372.0074999996,1473595.0
471,1473978.0175000012,1477746.0074999996,1473972.01
472,1473986.0155000023,1476361.0174999996,1473978.02
473,1474340.0075000012,1478524.0144999991,1473970.0
474,1487955.0935000137,1478525.0094999997,1473976.01
475,1479955.0035000006,1483308.0104999994,1479954.0
476,1473619.005500001,1478775.011499999,1473619.0
477,1473857.0035000006,1485766.0054999995,1473856.0
478,1473666.0035000006,1478474.0144999991,1473662.0
479,1473719.0035000006,1473716.0015,1473716.0
480,1473651.0075000012,1479566.0094999997,1473651.0
481,1473654.015500001,1476049.0094999997,1473651.01
482,1473647.0075000012,1477186.0094999997,1473644.02
483,1473651.005500001,1476394.0054999995,1473648.0
484,1473648.0035000006,1476659.0074999996,1473647.0
485,1473888.0035000006,1481972.0134999992,1473888.0
486,1473906.005500001,1476911.016499999,1473905.01
487,1473662.005500001,1475612.0074999996,1473662.0
488,1473686.0175000012,1485984.0104999994,1473683.0
489,1473691.0035000006,1474011.0135,1473688.0
490,1473911.0155000023,1478351.0104999994,1473904.01
491,1473898.021500002,1478421.0094999997,1473887.02
492,1473878.011500002,1478696.0124999993,1473877.03
493,1479950.011500002,1489938.0064999997,1479939.04
494,1479939.011500002,1484406.011499999,1479939.0
495,1473689.0035000006,1476289.0104999994,1473687.0
496,1479752.0035000006,1484475.011499999,1479749.0
497,1479661.005500001,1486050.0094999997,1479647.01
498,1473703.0075000012,1474368.0064999997,1473696.02
499,1474183.0035000006,1479041.0104999994,1474183.0
500,1473966.005500001,1477800.0124999993,1473964.01
501,1473928.005500001,1476556.0074999996,1473926.02
502,1473716.0075000012,1475215.0074999996,1473710.03
503,1473981.0135000022,1478347.0104999994,1473963.0
504,1473825.005500001,1476259.0074999996,1473824.0
505,1473961.0035000006,1488202.0134999992,1473959.01
506,1473967.0075000012,1478337.0144999991,1473958.0
507,1473874.0035000006,1477295.0084999995,1473873.0
508,1473926.0035000006,1478796.0094999997,1473924.01
509,1473928.0035000006,1474039.0125,1473926.0
510,1474174.0035000006,1475032.0044999998,1474157.01
511,1479743.0035000006,1484660.0134999992,1479730.02
512,1478530.0075000012,1487986.0124999993,1478514.03
